用户,USER,USER,,,,,,
编号,ID,ID,,,,,,
名称,NAME,NAME,,,,,,
模版,TEPA,TEMPLATE,,,,,,
设备,DEVC,DEVICE,,,,,,
开始,STA,START,,,,,,
结束,END,END,,,,,,
日期,_DT,DATE,,,,,,
性别,SEX,SEX,,,,,,
任务,JOB,JOB,,,,,,
关系,RELA,RELATION,,,,,,
历史,_H,HISTORY,,,,,,
记录,REC,RECORD,,,,,,
关注,FAV,FAVRITE,,,,,,
值,VAL,VALUE,,,,,,
类别,TYPE,TYPE,,,,,,
睡觉,SLP,SLEEP,X,,,,,
起床,GTP,GETUP,X,,,,,
时间,_TM,TIME,X,,,,,
数据,DATA,DATA,X,,,,,
